"","LATITUDE","LONGITUDE","DATE..yyyy.mm.dd.","DEPTH..m.","N2","SatelliteBin","Temp","Salinity"
"1",27.17,-64.86,"05/05/2008",5,0.4763,1,NA,NA
"2",27.17,-64.86,"05/05/2008",80,0.20215,1,NA,NA
"3",27.17,-64.86,"05/05/2008",120,0.0626,1,NA,NA
"4",27.17,-64.86,"05/05/2008",160,0.058,1,NA,NA
"5",27.17,-64.86,"05/05/2008",200,0.1614,1,NA,NA
"6",28.56,-64.63,"04/05/2008",105,0.1158,1,NA,NA
"7",28.56,-64.63,"04/05/2008",150,0.211,1,NA,NA
"8",28.56,-64.63,"04/05/2008",300,0.0323,1,NA,NA
"9",30.16,-64.4,"04/05/2008",5,0.33155,1,NA,NA
"10",30.16,-64.4,"04/05/2008",40,0.2542,1,NA,NA
"11",30.16,-64.4,"04/05/2008",80,0.1571,1,NA,NA
"12",30.16,-64.4,"04/05/2008",120,0.1904,1,NA,NA
"13",30.16,-64.4,"04/05/2008",200,0.0867,1,NA,NA
"14",31.63,-64.17,"03/05/2008",5,0.21355,1,NA,NA
"15",31.63,-64.17,"03/05/2008",40,0.33985,1,NA,NA
"16",31.63,-64.17,"03/05/2008",60,0.30085,1,NA,NA
"17",31.63,-64.17,"03/05/2008",80,0.31845,1,NA,NA
"18",31.63,-64.17,"03/05/2008",100,0.15625,1,NA,NA
"19",31.66,-64.16,"24/05/2008",5,0.06985,2,NA,NA
"20",31.66,-64.16,"24/05/2008",40,0.1984,2,NA,NA
"21",31.66,-64.16,"24/05/2008",65,0.14165,2,NA,NA
"22",31.66,-64.16,"24/05/2008",90,0.09425,2,NA,NA
"23",31.66,-64.16,"24/05/2008",140,0.09685,2,NA,NA
"24",33.33,-78.58,"15/08/2016",2,24.8876,11,28.7,NA
"25",33.33,-78.58,"15/08/2016",18,22.0292,11,25.2,NA
"26",33.34,-77.53,"15/08/2016",2,12.4712,11,29.4,NA
"27",33.34,-77.53,"15/08/2016",16,12.7287,11,28.2,NA
"28",33.34,-77.53,"15/08/2016",24,9.7285,11,23,NA
"29",33.34,-76.51,"15/08/2016",1,29.8971,11,30.1,NA
"30",33.34,-76.51,"15/08/2016",98,4.7984,11,26.7,NA
"31",33.34,-76.51,"15/08/2016",149,3.6076,11,23.7,NA
