"","No","ID","Latitude","Longitude","Tricho_g.c._L_seawater","UCYN_A1_g.c._L_seawater","GammaA_g.c._L_seawater","Temperature","Desired_Depth..m.","log_Tricho","log_UCYN_A1","log_GammaA"
"1",1200,"FIG_UW_DNA1200",33.1946168888889,-67.8509016944444,34432.7777846643,0,70.000000014,"28.3066666666667",5,4.53698467245867,0,1.85125834880471
"2",1200,"FIG_UW_DNA1200",33.1946168888889,-67.8509016944444,36611.9444517668,0,26.1111111163333,"28.3066666666667",5,4.56363465670818,0,1.43314731698306
"3",1201,"FIG_UW_DNA1201",33.2182157222222,-67.9450630555556,25731.2812737698,0,0,"28.3001666666667",5,4.41047828992942,0,0
"4",1201,"FIG_UW_DNA1201",33.2182157222222,-67.9450630555556,34154.7990841473,0,0,"28.3001666666667",5,4.53346445022641,0,0
"5",1202,"FIG_UW_DNA1202",33.2401386111111,-68.0406622222222,50406.6527324297,0,0,"28.2885",5,4.70249647468299,0,0
"6",1202,"FIG_UW_DNA1202",33.2401386111111,-68.0406622222222,49271.8368149166,1328159175451428,0,"28.2885",5,4.69260756689431,15.1232501268977,0
"7",1203,"FIG_UW_DNA1203",33.2666228611111,-68.1333361388889,40749.7189330377,0,194.334319517692,"28.2258333333333",5,4.6101352750612,0,2.29077855392647
"8",1203,"FIG_UW_DNA1203",33.2666228611111,-68.1333361388889,50627.30768998,0,535.38461536,"28.2258333333333",5,4.7043934108317,0,2.72947631287815
"9",1204,"FIG_UW_DNA1204",33.2936406388889,-68.22603925,210813.898814426,0,0,"28.0071666666667",5,5.32390130029879,0,0
"10",1204,"FIG_UW_DNA1204",33.2936406388889,-68.22603925,155867.321432196,0,0,"28.0071666666667",5,5.19275785845271,0,0
"11",1206,"FIG_UW_DNA1206",33.3984170555556,-68.6334171111111,0,0,0,"27.2906666666667",5,0,0,0
"12",1206,"FIG_UW_DNA1206",33.3984170555556,-68.6334171111111,0,0,0,"27.2906666666667",5,0,0,0
"13",1207,"FIG_UW_DNA1207",33.4484931111111,-68.82400425,14330.9690084275,0,0,"27.1975",5,4.15630586037298,0,0
"14",1207,"FIG_UW_DNA1207",33.4484931111111,-68.82400425,17076.9359506075,0,0,"27.1975",5,4.23243538043792,0,0
"15",1218,"FIG_UW_DNA1218",33.5836950833333,-69.1544393055556,16802.9997969653,0,0,"27.2495",5,4.22541266761858,0,0
"16",1218,"FIG_UW_DNA1218",33.5836950833333,-69.1544393055556,23977.0239620248,0,0,"27.2495",5,4.37981338986586,0,0
"17",1220,"FIG_UW_DNA_1220",33.7880312222222,-69.3888173888889,0,0,0,"27.0843333333333",5,0,0,0
"18",1220,"FIG_UW_DNA_1220",33.7880312222222,-69.3888173888889,0,0,0,"27.0843333333333",5,0,0,0
"19",1221,"FIG_UW_DNA_1221",33.9549889722222,-69.5594288055556,17876.1801034944,0,0,"27.1108333333333",5,4.25229901546244,0,0
"20",1221,"FIG_UW_DNA_1221",33.9549889722222,-69.5594288055556,9767.97385720588,0,0,"27.1108333333333",5,3.98984894738735,0,0
